ST_DEJAVNOSTI; SKD_2PLUS
G47.301;47.MG
G47.302;47.MG
G47.110;47.ZH
G47.210;47.ZH
G47.220;47.ZH
G47.230;47.ZH
G47.240;47.ZH
G47.250;47.ZH
G47.260;47.ZH
G47.290;47.ZH
G47.190;47.DR
G47.410;47.DR
G47.420;47.DR
G47.430;47.DR
G47.510;47.DR
G47.520;47.DR
G47.530;47.DR
G47.540;47.DR
G47.590;47.DR
G47.610;47.DR
G47.621;47.DR
G47.622;47.DR
G47.630;47.DR
G47.640;47.DR
G47.650;47.DR
G47.710;47.DR
G47.720;47.DR
G47.730;47.DR
G47.740;47.DR
G47.750;47.DR
G47.761;47.DR
G47.762;47.DR
G47.770;47.DR
G47.781;47.DR
G47.782;47.DR
G47.789;47.DR
G47.790;47.DR
G47.810;47.DR
G47.820;47.DR
G47.890;47.DR
G47.910;47.DR
G47.990;47.DR
